#{"t_start": 1782478114.7687337, "env_id": "Reacher-v5"}
r,l,t
-32.460531,50,54.301441
-28.451113,50,54.35274
-27.505623,50,54.411187
-34.074285,50,54.476787
-36.519922,50,54.537482
-36.780889,50,54.598411
-33.85577,50,54.659567
-30.842303,50,54.724037
-29.8658,50,54.788613
-31.853927,50,54.851873
-31.017448,50,54.909816
-31.368773,50,54.963502
-27.543302,50,55.025835
-36.136378,50,55.083958
-30.321508,50,55.132053
-28.083845,50,55.186663
-37.197927,50,55.255123
-28.293444,50,55.316377
-31.209032,50,55.380453
-35.624771,50,55.443821
-34.697302,50,55.495502
-37.843113,50,55.561032
-34.085102,50,55.625326
-32.9333,50,55.689041
-33.751045,50,55.751385
-32.713098,50,55.814137
-29.996224,50,56.942314
-24.919867,50,57.006547
-29.079,50,57.073894
-29.311855,50,57.142734
-28.467653,50,57.208604
-26.606217,50,57.268117
-34.245432,50,57.332066
-28.114178,50,57.390912
-27.003719,50,57.454846
-27.252835,50,57.503421
-24.083788,50,57.57262
-26.223129,50,57.629772
-28.39279,50,57.694684
-25.090457,50,57.75804
-28.049121,50,57.821585
-29.588515,50,57.884982
-24.631243,50,57.949168
-32.838284,50,58.014151
-31.445055,50,58.065579
-25.90893,50,58.127441
-38.547912,50,58.189354
-30.57578,50,58.252293
-27.323447,50,58.311271
-23.004675,50,58.370432
-27.494947,50,58.439029
-30.720306,50,58.499013
-25.91088,50,58.561825
-27.186703,50,58.611556
-31.31349,50,58.665277
-22.259205,50,58.731985
-24.187013,50,58.794673
-26.436583,50,58.852423
-30.491731,50,58.908591
-28.577025,50,58.964683
-35.279545,50,59.032099
-23.170194,50,59.092047
-32.227964,50,59.151282
-32.989377,50,59.214198
-30.089409,50,59.273726
-24.676558,50,59.328032
-29.605325,50,59.387369
-26.919743,50,60.555605
-35.00987,50,60.621142
-26.798826,50,60.670066
-25.941607,50,60.734602
-26.52841,50,60.804609
-29.116109,50,60.869449
-21.984076,50,60.932158
-24.102815,50,60.982521
-29.015395,50,61.043261
