#{"t_start": 1782735274.7073853, "env_id": "Reacher-v5"}
r,l,t
-63.296975,50,36.045151
-68.454141,50,36.10116
-70.940255,50,36.158851
-68.237603,50,36.214166
-75.501481,50,36.265315
-70.14916,50,36.323927
-63.122852,50,36.380322
-74.261659,50,36.433155
-68.640003,50,36.490107
-71.157944,50,36.545499
-69.678142,50,36.600148
-70.510111,50,36.655661
-70.474374,50,36.712967
-73.982659,50,36.767392
-74.450717,50,36.823848
-67.591043,50,36.874985
-70.668654,50,36.928994
-63.685048,50,36.982691
-78.165791,50,38.085443
-75.751726,50,38.144518
-78.779371,50,38.209561
-81.904125,50,38.270537
-81.631368,50,38.331568
-77.031546,50,38.38567
-86.106707,50,38.451508
-87.026882,50,38.507029
-79.17971,50,38.565762
-87.294319,50,38.618376
-71.31342,50,38.685351
-82.759104,50,38.748696
-69.529582,50,38.805011
-87.543359,50,38.861341
-88.065191,50,38.920607
-89.147671,50,38.971183
-80.648905,50,39.02806
-90.190426,50,39.084183
-72.218768,50,39.136611
-74.884953,50,39.192602
-90.639917,50,39.242892
-82.352941,50,39.294562
-73.202138,50,39.346403
-61.420926,50,39.399463
-78.711369,50,39.453622
-80.017623,50,39.510027
-74.297173,50,39.567726
-77.495992,50,39.623303
-81.102039,50,39.683909
-77.382502,50,39.745516
-82.986879,50,39.801471
-83.980239,50,39.863161
-84.293105,50,39.932235
-80.804344,50,39.990777
-82.572155,50,40.059306
-82.111028,50,40.13004
-69.418379,50,40.196634
-68.267677,50,40.262441
-88.533306,50,40.335827
-77.763866,50,40.403569
-83.68133,50,40.48018
-101.330125,50,41.715056
-103.08569,50,41.770043
-104.379492,50,41.824303
-103.618959,50,41.884229
-110.746277,50,41.948565
-110.254653,50,42.014962
-105.375791,50,42.075144
-108.605342,50,42.14369
-103.215493,50,42.215151
-107.706292,50,42.280759
-115.893265,50,42.349823
-110.788575,50,42.406007
-109.679238,50,42.469383
-108.827687,50,42.53275
-104.916137,50,42.599771
-108.495616,50,42.666431
-113.212236,50,42.730134
-110.640208,50,42.796934
-109.58576,50,42.859808
-108.820744,50,42.925694
-110.5834,50,42.990705
-110.83443,50,43.056185
-101.825655,50,43.1195
-106.686981,50,43.191647
-104.04213,50,43.262444
-109.100686,50,43.331628
-105.641576,50,43.392623
-106.168164,50,43.449783
-109.419065,50,43.518373
-106.841092,50,43.574077
-108.721119,50,43.633937
-104.986128,50,43.686955
-113.94251,50,43.741167
-106.45907,50,43.792009
-117.73758,50,43.846005
-109.504737,50,43.91385
-113.291808,50,43.977953
-115.950802,50,44.04232
-108.403185,50,44.099727
-104.681083,50,44.160696
-106.479684,50,44.22873
-117.82916,50,45.388707
-107.2105,50,45.440404
-113.459313,50,45.502655
-111.970219,50,45.567018
-115.710951,50,45.623286
-114.484931,50,45.684426
-108.429898,50,45.738934
-116.715761,50,45.794348
-105.356002,50,45.85427
-111.45285,50,45.916077
-105.05223,50,45.970932
-114.482937,50,46.025501
-112.606485,50,46.078356
-106.828722,50,46.141011
-113.880413,50,46.197802
-115.546689,50,46.253873
-104.488723,50,46.309325
-105.799345,50,46.373574
-114.223203,50,46.430495
-111.992866,50,46.482545
-104.717361,50,46.543097
-104.482476,50,46.607503
-110.826242,50,46.67421
-106.619292,50,46.739045
-109.925938,50,46.798388
-118.342969,50,46.859188
-108.898636,50,46.929446
-114.131745,50,46.991929
-112.457021,50,47.049032
-112.177667,50,47.10939
-118.411854,50,47.165065
-115.95871,50,47.217403
-116.81971,50,47.277396
-110.735208,50,47.333787
-110.222938,50,47.391242
-111.270996,50,47.4537
-111.812677,50,47.506953
-107.589189,50,47.560751
-117.755618,50,47.623525
-115.873161,50,47.688913
-109.71016,50,47.750665
-117.088262,50,49.00201
-111.001214,50,49.058921
-110.526158,50,49.114613
-117.654926,50,49.174283
-110.421759,50,49.232813
-115.48315,50,49.290025
-111.864702,50,49.347662
-108.732068,50,49.413856
-116.924179,50,49.478857
-108.793426,50,49.538243
-111.441857,50,49.60137
-107.792765,50,49.666695
-114.200658,50,49.733382
-117.534728,50,49.793088
-115.189549,50,49.851116
-113.091791,50,49.918979
-107.480435,50,49.976951
-105.880427,50,50.045979
-110.384637,50,50.113502
-108.26995,50,50.173232
-108.380855,50,50.231462
-104.956589,50,50.294134
-115.477875,50,50.360849
-106.586289,50,50.429797
-109.346951,50,50.499084
-117.724447,50,50.560616
-108.015501,50,50.630862
-108.252627,50,50.697175
-110.835895,50,50.763684
-115.986531,50,50.833617
-114.508303,50,50.903815
-118.146122,50,50.963873
-117.425724,50,51.036616
-113.480283,50,51.092772
-107.896765,50,51.15761
-106.04626,50,51.229072
-109.451783,50,51.293331
-110.814639,50,51.359806
-118.179666,50,51.425033
-112.983899,50,51.488251
-106.119504,50,51.545771
-117.540271,50,52.768868
-114.873014,50,52.824718
-108.653026,50,52.878776
-112.782885,50,52.932451
-112.657025,50,52.999992
-114.463914,50,53.064801
-109.454558,50,53.133684
-115.600902,50,53.19095
-110.38811,50,53.252904
-111.773271,50,53.324867
-105.003604,50,53.382295
-109.466966,50,53.451135
-113.617,50,53.505366
-108.119542,50,53.564006
-116.217663,50,53.630807
-112.769456,50,53.696725
-110.873813,50,53.75673
-110.448407,50,53.819616
-115.864737,50,53.874141
-115.747669,50,53.938777
-108.154519,50,54.000411
-115.182129,50,54.060701
-105.085026,50,54.12142
-117.083561,50,54.180747
-117.622757,50,54.244203
-111.315969,50,54.299632
-109.857266,50,54.363935
-106.074044,50,54.426325
-106.799173,50,54.49122
-104.825246,50,54.554773
-104.664973,50,54.619717
-115.999116,50,54.687117
-109.064167,50,54.756309
-116.58982,50,54.816656
-108.26615,50,54.875425
-111.129894,50,54.93374
-116.211596,50,54.991063
-116.233121,50,55.051659
-113.625455,50,55.126371
-114.46125,50,55.196947
-114.709177,50,55.259127
-113.005002,50,56.559683
-111.797249,50,56.613003
-107.70598,50,56.676599
