#{"t_start": 1782730396.64561, "env_id": "Reacher-v5"}
r,l,t
-51.071387,50,47.100866
-54.467806,50,47.155401
-57.255653,50,47.207691
-59.135188,50,47.257054
-51.714761,50,47.315659
-60.846029,50,47.369183
-61.403864,50,47.425265
-54.579983,50,47.480031
-57.650019,50,47.532857
-49.425536,50,47.584825
-62.956287,50,47.634841
-58.377721,50,47.690662
-53.558675,50,47.747066
-57.206527,50,47.806534
-55.906454,50,47.856178
-51.741831,50,47.911069
-56.019973,50,47.966148
-55.417911,50,48.022604
-58.081315,50,48.077844
-59.560236,50,48.132366
-53.694656,50,48.181242
-56.290887,50,48.232662
-49.193386,50,48.28174
-57.008619,50,48.332683
-54.727145,50,49.381684
-57.33357,50,49.430899
-58.912382,50,49.483902
-59.811716,50,49.531117
-53.388111,50,49.580576
-59.326621,50,49.631379
-55.015937,50,49.68076
-58.437154,50,49.72987
-53.499172,50,49.781112
-49.451452,50,49.837034
-56.830111,50,49.893643
-59.844416,50,49.94806
-53.716143,50,50.002273
-65.11491,50,50.058447
-55.608056,50,50.110719
-55.834145,50,50.166211
-64.040462,50,50.224453
-50.353944,50,50.277051
-55.934418,50,50.326123
-54.459357,50,50.374774
-57.964012,50,50.424215
-62.377003,50,50.475309
-60.14262,50,50.531748
-54.43758,50,50.587408
-55.526636,50,50.635548
-48.494228,50,50.685111
-49.532111,50,50.733032
-48.984045,50,50.782438
-58.82149,50,50.834819
-60.676429,50,50.891229
-51.728373,50,50.941913
-57.516583,50,50.993645
-56.411032,50,51.042043
-49.545866,50,51.089547
-56.8028,50,51.139991
-44.917197,50,51.192784
-59.284265,50,51.246897
-57.010455,50,51.302674
-47.479368,50,51.357357
-61.492677,50,51.420479
-52.565684,50,51.473506
-52.333052,50,52.48596
-53.776862,50,52.537683
-53.357802,50,52.587257
-54.886617,50,52.641492
-58.179911,50,52.695154
-54.507692,50,52.749517
-48.934988,50,52.810766
-54.712698,50,52.867626
-58.799035,50,52.916116
-63.420954,50,52.973665
-48.637495,50,53.026167
-54.670627,50,53.080515
-53.707429,50,53.133392
-60.266183,50,53.189535
-49.893573,50,53.237208
-55.759575,50,53.287472
-52.116439,50,53.33998
-60.715178,50,53.393672
-46.88026,50,53.455388
-54.987224,50,53.510901
-64.570092,50,53.564305
-56.547893,50,53.617271
-56.914143,50,53.669409
-58.599195,50,53.727495
-58.939742,50,53.782823
-51.036313,50,53.83619
-56.348408,50,53.886919
-52.985462,50,53.941786
-48.481375,50,53.998704
-52.010672,50,54.054026
-50.367354,50,54.110451
-56.038127,50,54.162959
-57.499987,50,54.216151
-46.631928,50,54.268356
-53.861231,50,54.325583
-55.317007,50,54.384138
-45.00891,50,54.435364
-55.362542,50,54.490319
-49.457681,50,54.546429
-42.51102,50,54.597247
-54.427936,50,54.655895
-52.956138,50,55.701998
-53.096168,50,55.754673
-52.872259,50,55.806171
-56.422373,50,55.858621
-55.227934,50,55.913195
-53.738932,50,55.969938
-48.2375,50,56.019916
-53.098565,50,56.073576
-54.292232,50,56.144672
-48.275507,50,56.206436
-52.102365,50,56.259403
-43.233855,50,56.310333
-54.645204,50,56.361445
-53.458237,50,56.409059
-53.696145,50,56.46186
-46.045257,50,56.516363
-54.403482,50,56.569475
-49.652682,50,56.624697
-55.272951,50,56.676861
-52.504588,50,56.72902
-55.128332,50,56.785
-52.292107,50,56.84079
-55.737008,50,56.893046
-55.410442,50,56.941461
-54.380819,50,56.989892
-56.264936,50,57.041302
-57.501466,50,57.090927
-49.175741,50,57.141413
-47.849946,50,57.193003
-55.34236,50,57.241705
-45.059246,50,57.289778
-45.103061,50,57.338657
-47.66056,50,57.386941
-46.693533,50,57.440698
-65.826597,50,57.491747
-51.601817,50,57.54676
-52.180679,50,57.605687
-54.80136,50,57.661088
