step,d_cube_median,d_ghost_median,finger_sum_median,cube_corner_median,arm_joints_pinned_median,grasping_pct
231,0.03636,0.06351,0.04466,0.12832,0.0,28.7
232,0.03618,0.06352,0.04466,0.12833,0.0,28.7
233,0.03627,0.06349,0.04466,0.12774,0.0,28.7
234,0.03618,0.06351,0.04466,0.12795,0.0,28.7
235,0.03624,0.06348,0.04466,0.128,0.0,28.7
236,0.03618,0.06351,0.04467,0.12771,0.0,28.7
237,0.03621,0.06343,0.04467,0.12842,0.0,28.7
238,0.03618,0.0635,0.04467,0.12874,0.0,28.7
239,0.03651,0.06344,0.04467,0.12848,0.0,28.7
240,0.03619,0.06356,0.04466,0.12803,0.0,28.7
241,0.03655,0.06347,0.04466,0.12852,0.0,28.7
242,0.03637,0.06347,0.04466,0.12806,0.0,28.7
243,0.03649,0.0635,0.04466,0.12815,0.0,28.7
244,0.0364,0.06359,0.04466,0.12811,0.0,28.7
245,0.03643,0.06346,0.04467,0.12792,0.0,28.7
246,0.03651,0.06346,0.04467,0.12767,0.0,28.7
247,0.03632,0.06354,0.04466,0.1277,0.0,28.7
248,0.03634,0.06316,0.04466,0.12752,0.0,28.7
249,0.33926,0.33252,0.08,0.034,0.0,0.8
